parking_undistorted-[i].jpg,latitude,longitude,altitude,SFV(%),pixel_col,pixel_row
parking_undistorted-3.jpg,40.45365384,-3.726822951,660,64.01823641,198,175
parking_undistorted-30.jpg,40.45364973,-3.726854977,660,82.55716452,39,108
parking_undistorted-31.jpg,40.45364579,-3.726885472,660,83.52496962,39,67
parking_undistorted-32.jpg,40.45364161,-3.726918278,660,75.76118938,96,13
parking_undistorted-33.jpg,40.45363814,-3.72697701,660,74.49387935,134,12
parking_undistorted-34.jpg,40.45363394,-3.727009865,660,62.70172021,180,12
parking_undistorted-35.jpg,40.45362876,-3.72703544,660,73.54766472,227,14
parking_undistorted-36.jpg,40.45359972,-3.727169963,660,71.45765759,273,14
parking_undistorted-37.jpg,40.45364688,-3.727180047,660,68.82588044,316,16
parking_undistorted-38.jpg,40.45371263,-3.727117076,660,65.25516916,362,28
parking_undistorted-39.jpg,40.45371921,-3.727061922,660,62.32037236,416,28
parking_undistorted-4.jpg,40.45372205,-3.727003015,660,62.77929525,222,175
parking_undistorted-40.jpg,40.45372663,-3.726944506,660,68.13674295,158,870
parking_undistorted-41.jpg,40.45373168,-3.726882231,660,65.42914813,168,825
parking_undistorted-44.jpg,40.45374294,-3.72669245,660,48.95838564,178,743
parking_undistorted-45.jpg,40.45285772,-3.726872135,660,49.94978962,176,712
parking_undistorted-46.jpg,40.45290455,-3.72686714,660,46.08810918,171,686
parking_undistorted-48.jpg,40.45296642,-3.726867583,660,47.54797602,205,754
parking_undistorted-49.jpg,40.45299012,-3.726870797,660,46.45564917,201,711
parking_undistorted-5.jpg,40.45302724,-3.726882864,660,62.05952943,242,175
parking_undistorted-50.jpg,40.45304579,-3.72688005,660,47.31826352,199,681
parking_undistorted-51.jpg,40.45293587,-3.726820032,660,50.25808136,171,657
parking_undistorted-53.jpg,40.4530281,-3.726840067,660,47.80480212,204,633
parking_undistorted-54.jpg,40.45305944,-3.726843483,660,74.15395507,75,841
parking_undistorted-55.jpg,40.45307366,-3.726889134,660,71.6705496,59,817
parking_undistorted-6.jpg,40.45294413,-3.727024854,660,62.02639058,270,175
parking_undistorted-60.jpg,40.45293741,-3.726983552,660,51.73928762,49,687
parking_undistorted-61.jpg,40.45297781,-3.726994815,660,55.15484882,80,704
parking_undistorted-62.jpg,40.45298835,-3.727039958,660,55.3825529,78,669
parking_undistorted-63.jpg,40.45302872,-3.72704711,660,52.87755696,48,667
parking_undistorted-64.jpg,40.45301453,-3.72700233,660,53.73916711,51,644
parking_undistorted-67.jpg,40.45305424,-3.727052983,660,35.56125164,27,555
parking_undistorted-7.jpg,40.45316563,-3.727097256,660,62.89879596,291,175
parking_undistorted-72.jpg,40.45314014,-3.72697888,660,41.65478354,192,590
parking_undistorted-73.jpg,40.45313964,-3.726949506,660,41.67913558,215,591
parking_undistorted-74.jpg,40.45314981,-3.726873866,660,39.87884235,237,590
parking_undistorted-75.jpg,40.45315252,-3.72684087,660,43.28486358,277,605
parking_undistorted-76.jpg,40.45315734,-3.726817967,660,39.87884235,298,605
parking_undistorted-77.jpg,40.45314302,-3.726761176,660,37.23501471,317,600
parking_undistorted-78.jpg,40.45314642,-3.726735261,660,33.82698507,339,602
parking_undistorted-79.jpg,40.45315525,-3.72671141,660,30.00421767,394,569
parking_undistorted-8.jpg,40.45315833,-3.726679207,660,62.73385485,315,175
parking_undistorted-80.jpg,40.45319911,-3.726611612,660,30.53820508,417,570
parking_undistorted-81.jpg,40.45321196,-3.726538603,660,27.66893283,439,570
parking_undistorted-82.jpg,40.45320515,-3.7265513,660,19.94908667,463,573
parking_undistorted-83.jpg,40.45321794,-3.726492785,660,53.80167904,488,572
parking_undistorted-84.jpg,40.45321977,-3.726467111,660,22.52337293,505,573
parking_undistorted-85.jpg,40.4532218,-3.726446325,660,23.79419769,528,570
parking_undistorted-86.jpg,40.4532164,-3.726432018,660,24.72158343,550,572
parking_undistorted-87.jpg,40.45322048,-3.726408355,660,26.4151796,573,573
parking_undistorted-88.jpg,40.45322316,-3.726374448,660,25.34394111,594,573
parking_undistorted-89.jpg,40.45322746,-3.726347948,660,26.26881634,615,572
parking_undistorted-9.jpg,40.45323231,-3.726320305,660,62.3587833,338,175
parking_undistorted-90.jpg,40.4532418,-3.726293032,660,27.18164108,538,567
parking_undistorted-92.jpg,40.45322874,-3.726611343,660,21.62335184,383,545
parking_undistorted-99.jpg,40.4533232,-3.72647914,660,25.68612486,510,462
