,latitude,longitude,SFV(%),production - ISO (Wh),production - SFV (Wh),%?
parking_undistorted-22.jpg,40.45365306,-3.726559385,70.35177393,1608.511871,1516.676309,-5.709349348
parking_undistorted-23.jpg,40.45368014,-3.726561342,70.15469819,1608.511842,1516.676278,-5.709349564
parking_undistorted-24.jpg,40.45369959,-3.726568055,69.94356353,1608.511818,1513.597133,-5.900776376
parking_undistorted-25.jpg,40.45366874,-3.726676131,71.20560147,1608.511151,1519.753569,-5.517996065
parking_undistorted-26.jpg,40.45366488,-3.726705828,72.38755385,1608.509967,1522.829213,-5.326715753
parking_undistorted-27.jpg,40.4536609,-3.726736875,72.16461976,1608.509954,1522.8292,-5.32671582
parking_undistorted-28.jpg,40.45366013,-3.726765565,71.61305872,1608.509939,1519.752342,-5.518001191
parking_undistorted-29.jpg,40.45365787,-3.726797129,72.23817797,1608.509924,1522.829169,-5.326715983
parking_undistorted-3.jpg,40.45365384,-3.726822951,64.01823641,1608.509754,1498.182457,-6.858975908
parking_undistorted-30.jpg,40.45364973,-3.726854977,82.55716452,1608.51119,1553.535719,-3.417786058
parking_undistorted-31.jpg,40.45364579,-3.726885472,83.52496962,1608.511491,1556.600186,-3.227288403
parking_undistorted-32.jpg,40.45364161,-3.726918278,75.76118938,1608.511477,1532.054405,-4.753281122
parking_undistorted-33.jpg,40.45363814,-3.72697701,74.49387935,1608.51011,1528.97961,-4.944358097
parking_undistorted-34.jpg,40.45363394,-3.727009865,62.70172021,1608.50998,1492.009766,-7.242741143
parking_undistorted-35.jpg,40.45362876,-3.72703544,73.54766472,1608.509971,1525.904916,-5.135501574
parking_undistorted-36.jpg,40.45359972,-3.727169963,71.45765759,1608.156083,1519.417727,-5.518018919
parking_undistorted-37.jpg,40.45364688,-3.727180047,68.82588044,1608.156029,1510.182301,-6.092302355
parking_undistorted-38.jpg,40.45371263,-3.727117076,65.25516916,1608.157508,1500.938239,-6.66721191
parking_undistorted-39.jpg,40.45371921,-3.727061922,62.32037236,1608.50934,1492.009116,-7.24274465
parking_undistorted-4.jpg,40.45372205,-3.727003015,62.77929525,1608.509892,1492.009671,-7.242741983
parking_undistorted-40.jpg,40.45372663,-3.726944506,68.13674295,1608.511258,1510.516315,-6.092275807
parking_undistorted-41.jpg,40.45373168,-3.726882231,65.42914813,1608.51109,1501.268589,-6.667190662
parking_undistorted-44.jpg,40.45374294,-3.72669245,48.95838564,1608.509893,1448.675039,-9.936827579
